platform,query,video_id,url,title,description,channel_title,published_at,slang_hits,source_file,comment_id,text,like_count,author_channel_id,video_url,video_title,slang_text_checked,health_text_checked,clean_slang_hits,is_health_related,keep_for_annotation,parsed_slang_hits,primary_slang,combined_context,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label,sentiment_target,health_domain_enriched,slang_categories,hashtags,hashtag_count,like_count_enriched,view_count_enriched,comment_count_enriched,channel_id_enriched,channel_title_enriched,log_views,log_likes,log_comments,like_rate,comment_rate,comment_only_sentiment,title_context_sentiment,full_context_sentiment,title_changed_sentiment,full_context_changed_sentiment
youtube,"""weight loss journey"" #shorts",gLMlDlo28UA,https://www.youtube.com/watch?v=gLMlDlo28UA,WEIGHT LOSS 🔥 BODY TRANSFORMATION + MOTIVATION + GLOW UP | WEIGHT LOSS JOURNEY (tiktok) #Shorts,WEIGHT LOSS BODY TRANSFORMATION + MOTIVATION + GLOW UP | WEIGHT LOSS JOURNEY (tiktok) #Shorts This ...,Fit For Life,2022-03-24T13:00:46Z,['glow up'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,weight loss 🔥 body transformation + motivation + glow up | weight loss journey (tiktok) #shorts weight loss body transformation + motivation + glow up | weight loss journey (tiktok) #shorts this ...,"""weight loss journey"" #shorts weight loss 🔥 body transformation + motivation + glow up | weight loss journey (tiktok) #shorts weight loss body transformation + motivation + glow up | weight loss journey (tiktok) #shorts this ...  ",['glow up'],True,True,['glow up'],glow up,"WEIGHT LOSS 🔥 BODY TRANSFORMATION + MOTIVATION + GLOW UP | WEIGHT LOSS JOURNEY (tiktok) #Shorts WEIGHT LOSS BODY TRANSFORMATION + MOTIVATION + GLOW UP | WEIGHT LOSS JOURNEY (tiktok) #Shorts This ... ""weight loss journey"" #shorts",0.323,0.557,0.12,-0.8613,negative,body_or_appearance,body_image_transformation,['body_transformation'],"['Shorts', 'Shorts', 'shorts']",3,0.0,0,0,,Fit For Life,0.0,0.0,0.0,,,neutral,negative,negative,True,True
youtube,"""weight loss journey"" #shorts",qkZ4gKBYYWw,https://www.youtube.com/watch?v=qkZ4gKBYYWw,BODY TRANSFORMATION 🔥 Weight Loss - Glow Up Motivation 😳 Weight Loss Journey #Shorts,This Morning Trigger Boosted My Metabolism Like No Other   62LBS Dissolved in 7 Weeks! Watch till the end to see how it ...,Fit For Life,2022-07-17T12:15:03Z,['glow up'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,body transformation 🔥 weight loss - glow up motivation 😳 weight loss journey #shorts this morning trigger boosted my metabolism like no other   62lbs dissolved in 7 weeks! watch till the end to see how it ...,"""weight loss journey"" #shorts body transformation 🔥 weight loss - glow up motivation 😳 weight loss journey #shorts this morning trigger boosted my metabolism like no other   62lbs dissolved in 7 weeks! watch till the end to see how it ...  ",['glow up'],True,True,['glow up'],glow up,"BODY TRANSFORMATION 🔥 Weight Loss - Glow Up Motivation 😳 Weight Loss Journey #Shorts This Morning Trigger Boosted My Metabolism Like No Other   62LBS Dissolved in 7 Weeks! Watch till the end to see how it ... ""weight loss journey"" #shorts",0.222,0.639,0.139,-0.5255,negative,body_or_appearance,body_image_transformation,['body_transformation'],"['Shorts', 'shorts']",2,0.0,0,0,,Fit For Life,0.0,0.0,0.0,,,neutral,negative,negative,True,True
youtube,"""weight loss journey"" #shorts",T87oV1uxFKA,https://www.youtube.com/watch?v=T87oV1uxFKA,INCREDIBLE Weight Loss Journey 🔥 | Glow Up Motivation #weightloss,Get Your Custom Keto Diet Below Quiz Builds Your Perfect Diet Plan ▻▻ https://fitvibesdaily.com (Includes Exclusive Bonus ...,Fit Vibes Daily,2023-01-06T21:47:48Z,['glow up'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,incredible weight loss journey 🔥 | glow up motivation #weightloss get your custom keto diet below quiz builds your perfect diet plan ▻▻ https://fitvibesdaily.com (includes exclusive bonus ...,"""weight loss journey"" #shorts incredible weight loss journey 🔥 | glow up motivation #weightloss get your custom keto diet below quiz builds your perfect diet plan ▻▻ https://fitvibesdaily.com (includes exclusive bonus ...  ",['glow up'],True,True,['glow up'],glow up,"INCREDIBLE Weight Loss Journey 🔥 | Glow Up Motivation #weightloss Get Your Custom Keto Diet Below Quiz Builds Your Perfect Diet Plan ▻▻ https://fitvibesdaily.com (Includes Exclusive Bonus ... ""weight loss journey"" #shorts",0.181,0.567,0.252,0.4811,positive,body_or_appearance,diet_weight_loss,['body_transformation'],"['weightloss', 'shorts']",2,0.0,0,0,,Fit Vibes Daily,0.0,0.0,0.0,,,neutral,negative,positive,True,True
youtube,"""weight loss journey"" #shorts",ytGggTyqs8Y,https://www.youtube.com/watch?v=ytGggTyqs8Y,😈 REVENGE Weight Loss Journey  | Glow Up Motivation #weightloss,Get Your Custom Keto Diet Below Quiz Builds Your Perfect Diet Plan ▻▻ https://fitvibesdaily.com (Includes Exclusive Bonus ...,Fit Vibes Daily,2023-03-20T15:14:45Z,['glow up'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,😈 revenge weight loss journey  | glow up motivation #weightloss get your custom keto diet below quiz builds your perfect diet plan ▻▻ https://fitvibesdaily.com (includes exclusive bonus ...,"""weight loss journey"" #shorts 😈 revenge weight loss journey  | glow up motivation #weightloss get your custom keto diet below quiz builds your perfect diet plan ▻▻ https://fitvibesdaily.com (includes exclusive bonus ...  ",['glow up'],True,True,['glow up'],glow up,"😈 REVENGE Weight Loss Journey  | Glow Up Motivation #weightloss Get Your Custom Keto Diet Below Quiz Builds Your Perfect Diet Plan ▻▻ https://fitvibesdaily.com (Includes Exclusive Bonus ... ""weight loss journey"" #shorts",0.175,0.542,0.283,0.6561,positive,body_or_appearance,diet_weight_loss,['body_transformation'],"['weightloss', 'shorts']",2,0.0,0,0,,Fit Vibes Daily,0.0,0.0,0.0,,,neutral,negative,positive,True,True
youtube,"""weight loss journey"" #shorts",ETmbFbLojzU,https://www.youtube.com/watch?v=ETmbFbLojzU,Extreme Weight-Loss Makeover 😳 Glow Up - Weight Loss Journey #Shorts,Get Your Custom Keto Diet Below Quiz Builds Your Perfect Diet Plan ▻▻ https://fitvibesdaily.com (Includes Exclusive Bonus ...,Fit Vibes Daily,2022-12-16T20:00:04Z,['glow up'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,extreme weight-loss makeover 😳 glow up - weight loss journey #shorts get your custom keto diet below quiz builds your perfect diet plan ▻▻ https://fitvibesdaily.com (includes exclusive bonus ...,"""weight loss journey"" #shorts extreme weight-loss makeover 😳 glow up - weight loss journey #shorts get your custom keto diet below quiz builds your perfect diet plan ▻▻ https://fitvibesdaily.com (includes exclusive bonus ...  ",['glow up'],True,True,['glow up'],glow up,"Extreme Weight-Loss Makeover 😳 Glow Up - Weight Loss Journey #Shorts Get Your Custom Keto Diet Below Quiz Builds Your Perfect Diet Plan ▻▻ https://fitvibesdaily.com (Includes Exclusive Bonus ... ""weight loss journey"" #shorts",0.109,0.686,0.206,0.6249,positive,body_or_appearance,diet_weight_loss,['body_transformation'],"['Shorts', 'shorts']",2,0.0,0,0,,Fit Vibes Daily,0.0,0.0,0.0,,,neutral,negative,positive,True,True
youtube,"""girl dinner"" #shorts",yU4lwuw_nW8,https://www.youtube.com/watch?v=yU4lwuw_nW8,Girl dinner 🤍 #trending,Sound from karmapilled on tiktok!,Tired Actor (Alison Burke),2023-07-11T17:28:48Z,['girl dinner'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,girl dinner 🤍 #trending sound from karmapilled on tiktok!,"""girl dinner"" #shorts girl dinner 🤍 #trending sound from karmapilled on tiktok!  ",['girl dinner'],True,True,['girl dinner'],girl dinner,"Girl dinner 🤍 #trending Sound from karmapilled on tiktok! ""girl dinner"" #shorts",0.0,1.0,0.0,0.0,neutral,food_or_meal,diet_weight_loss,['diet_culture'],"['trending', 'shorts']",2,0.0,0,0,,Tired Actor (Alison Burke),0.0,0.0,0.0,,,neutral,neutral,neutral,False,False
youtube,"""girl dinner"" #shorts",zQ3HBn6ksL0,https://www.youtube.com/watch?v=zQ3HBn6ksL0,Girl Dinner🍽️🎀 #skincare #makeup #aesthetic #preppyyyy #cosmetics #shorts #fyp #viralbeauty,,Kelsey Denise,2024-10-20T16:01:03Z,['girl dinner'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,girl dinner🍽️🎀 #skincare #makeup #aesthetic #preppyyyy #cosmetics #shorts #fyp #viralbeauty ,"""girl dinner"" #shorts girl dinner🍽️🎀 #skincare #makeup #aesthetic #preppyyyy #cosmetics #shorts #fyp #viralbeauty   ",['girl dinner'],True,True,['girl dinner'],girl dinner,"Girl Dinner🍽️🎀 #skincare #makeup #aesthetic #preppyyyy #cosmetics #shorts #fyp #viralbeauty ""girl dinner"" #shorts",0.0,1.0,0.0,0.0,neutral,creator_or_video,diet_weight_loss,['diet_culture'],"['skincare', 'makeup', 'aesthetic', 'preppyyyy', 'cosmetics', 'shorts', 'fyp', 'viralbeauty', 'shorts']",9,0.0,0,0,,Kelsey Denise,0.0,0.0,0.0,,,neutral,neutral,neutral,False,False
youtube,"""girl dinner"" #shorts",Zsz1T-6LkWU,https://www.youtube.com/watch?v=Zsz1T-6LkWU,Girl dinner 🍝 #dinner #pastanight #asmr #eveningroutine #shorts,,Victoria Ortega,2024-08-10T23:09:51Z,['girl dinner'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,girl dinner 🍝 #dinner #pastanight #asmr #eveningroutine #shorts ,"""girl dinner"" #shorts girl dinner 🍝 #dinner #pastanight #asmr #eveningroutine #shorts   ",['girl dinner'],True,True,['girl dinner'],girl dinner,"Girl dinner 🍝 #dinner #pastanight #asmr #eveningroutine #shorts ""girl dinner"" #shorts",0.0,1.0,0.0,0.0,neutral,food_or_meal,diet_weight_loss,['diet_culture'],"['dinner', 'pastanight', 'asmr', 'eveningroutine', 'shorts', 'shorts']",6,0.0,0,0,,Victoria Ortega,0.0,0.0,0.0,,,neutral,neutral,neutral,False,False
youtube,"""girl dinner"" #shorts",WXmDRrR-91A,https://www.youtube.com/watch?v=WXmDRrR-91A,my girl dinner as a savoury girl 🫒🍸💋 #short #shorts #cookielaaa,my girl dinner as a savoury girl #short #shorts #cookielaaa.,cookielaaa,2025-10-23T01:36:49Z,['girl dinner'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,my girl dinner as a savoury girl 🫒🍸💋 #short #shorts #cookielaaa my girl dinner as a savoury girl #short #shorts #cookielaaa.,"""girl dinner"" #shorts my girl dinner as a savoury girl 🫒🍸💋 #short #shorts #cookielaaa my girl dinner as a savoury girl #short #shorts #cookielaaa.  ",['girl dinner'],True,True,['girl dinner'],girl dinner,"my girl dinner as a savoury girl 🫒🍸💋 #short #shorts #cookielaaa my girl dinner as a savoury girl #short #shorts #cookielaaa. ""girl dinner"" #shorts",0.0,0.906,0.094,0.4215,positive,food_or_meal,diet_weight_loss,['diet_culture'],"['short', 'shorts', 'cookielaaa', 'short', 'shorts', 'cookielaaa', 'shorts']",7,0.0,0,0,,cookielaaa,0.0,0.0,0.0,,,neutral,positive,positive,True,True
youtube,"""girl dinner"" #shorts",WJfRC257Wbk,https://www.youtube.com/watch?v=WJfRC257Wbk,let’s make savoury girl dinner 🥚🥖🧈🐟  #short #shorts #cookielaaa,let's make savoury girl dinner #short #shorts #cookielaaa.,cookielaaa,2025-07-03T01:52:30Z,['girl dinner'],data_raw/batch_health_broad_01_youtube_videos.jsonl,,,,,,,let’s make savoury girl dinner 🥚🥖🧈🐟  #short #shorts #cookielaaa let's make savoury girl dinner #short #shorts #cookielaaa.,"""girl dinner"" #shorts let’s make savoury girl dinner 🥚🥖🧈🐟  #short #shorts #cookielaaa let's make savoury girl dinner #short #shorts #cookielaaa.  ",['girl dinner'],True,True,['girl dinner'],girl dinner,"let’s make savoury girl dinner 🥚🥖🧈🐟  #short #shorts #cookielaaa let's make savoury girl dinner #short #shorts #cookielaaa. ""girl dinner"" #shorts",0.0,1.0,0.0,0.0,neutral,food_or_meal,diet_weight_loss,['diet_culture'],"['short', 'shorts', 'cookielaaa', 'short', 'shorts', 'cookielaaa', 'shorts']",7,0.0,0,0,,cookielaaa,0.0,0.0,0.0,,,neutral,neutral,neutral,False,False
