primary_slang,count,share,cumulative_share
girl dinner,318,0.2839285714285714,0.2839285714285714
glow up,216,0.19285714285714287,0.47678571428571426
fr,104,0.09285714285714286,0.5696428571428571
dying,93,0.08303571428571428,0.6526785714285714
snatched,83,0.07410714285714286,0.7267857142857143
brain fog,59,0.05267857142857143,0.7794642857142857
slay,56,0.05,0.8294642857142858
locked in,45,0.04017857142857143,0.8696428571428572
hits different,45,0.04017857142857143,0.9098214285714286
lowkey,25,0.022321428571428572,0.9321428571428572
bussin,24,0.02142857142857143,0.9535714285714286
sent me,16,0.014285714285714285,0.9678571428571429
dead,13,0.011607142857142858,0.9794642857142857
took me out,11,0.009821428571428571,0.9892857142857142
knocked me out,7,0.00625,0.9955357142857142
no cap,3,0.0026785714285714286,0.9982142857142856
fighting for my life,2,0.0017857142857142857,0.9999999999999999
