annotation_id,platform,source_file,query,video_title,title,text,clean_slang_hits,slang_span,normalized_meaning,normalized_sentence,health_category,literal_or_nonliteral,ambiguity_level,requires_visual_context,requires_audio_context,requires_emoji_context,requires_comment_context,keep_final,notes
yt_0000,youtube,data_raw/youtube_comments.jsonl,"""ozempic side effects"" #shorts",New Ozempic and Wegovy side effects come to light,,"first brain fog, then dizzy, loss of feeling in hands. Lost 2 lbs in 4 mos. Explosive diarrhea or constipation. Quit taking 6 weeks ago. feel  astonishingly bad. I am diabetic only need to loose 30 lbs. Now I cannot walk without dizzy and falling. Rx from doc. Neighbor was flat on back in misery. Not walking when you have severe diarrhea IS A BIG problem.",['brain fog'],,,,,,,,,,,,
yt_0001,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",The Best MOUNJARO Alternative (Without the Side Effects) - Dr. Berg,,"I have type 2 diabetes and was on Mounjaro for two years. I stopped taking it a few months ago because I felt so fatigued that I could barely function. My diet didn’t change much—I just ate less—but I had almost no energy, even for a simple walk. A friend had to come over to help me clean because I was so exhausted.

On top of that, I started dreading the injections because they made me feel like I was going to throw up, and the nausea lasted for three days. It really impacted my quality of life. Over two years, I lost a total of 22 pounds while on the 5 mg dose. Every time I tried increasing it, I experienced severe stomach pain and almost ended up in the hospital.

Since stopping Mounjaro, I’ve been constantly sick. I had a severe two-week illness with nonstop vomiting, followed by two sinus infections that turned into bronchitis—one in February and now again in March. I live in Florida and rarely get sick, so this is really unusual for me. I’m not sure if my body is trying to cleanse itself or if Mounjaro may have affected my immune system.",['ate'],,,,,,,,,,,,
yt_0002,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Managing Mounjaro Side Effects: Strategies for Minimizing Risks | Wave Plastic Surgery,,"I experienced mild depression, combined with brain fog, and feeling withdrawn, anti social starting on day 4.....",['brain fog'],,,,,,,,,,,,
yt_0003,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",The Truth About Mounjaro Side Effects,,The question is if an individual is morbidly obese let's say 250 kg and well they cannot lose weight even with various programmes let's say from factors like lack of willpower or watnot wouldn't glp 1 drugs like ozempic be much better for them cause their chances of death on their size is much more compared dying from any side effect of that drug,['dying'],,,,,,,,,,,,
yt_0004,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Mounjaro 5mg 💩 NEW Side Effect #shorts #mounjaro #weightloss,,"Go for a walk after every meal & instead of doing your hair, face & nails.
Chew your food.   Eat whole food.  No snacking. 
Stop being lazy & shallow. 
Put the damn fork down & push away fr the table.",['fr'],,,,,,,,,,,,
yt_0005,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",5 Common Ozempic &amp; Mounjaro Side Effects—and How to AVOID Them!,,"As someone with a long history of pretty severe IBS-D, the constipatory effects of Mounjaro have actually been a welcomed change, lol. What I have struggled with the most is the fatigue and the lack of interest and investment brought on by the dopamine blunting. As someone who has had problems in the past with depression, it's causing a concerningly familiar apathy and lack of motivation. I noticed it get much more pronounced at the 7.5 dose and then when I tried to go up to 10, I felt like I was dying between the fatigue and the emotional disassociation I was feeling. I have weaned back down to a dose of 5mg and feel like this is giving me the best balance between benefits and side effects.",['dying'],,,,,,,,,,,,
yt_0006,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",5 Common Ozempic &amp; Mounjaro Side Effects—and How to AVOID Them!,,"I wish I had constipation! Had the opposite for 20 years, tried cutting everything out, just ate meat... still the same.",['ate'],,,,,,,,,,,,
yt_0007,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",7 DEADLY Ozempic &amp; Mounjaro Side Effects You MUST Know Before Starting!,,"Thank you Fr Kevin, as a fellow healthcare worker ( RN) of over 30 years I'm also a huge proponent of these GLP agonists.  Lifestyle changes and patient education is paramount while using these medications.  Always great content, thank you.  Dana",['fr'],,,,,,,,,,,,
yt_0008,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",People who took popular weight loss drugs say their stomachs are paralyzed,,I ended up in the ER because of Ozempic. Thought I was dying I felt so bad. Beware!,['dying'],,,,,,,,,,,,
yt_0009,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",How much weight can you lose with Mounjaro? 🤷🏻‍♂️👨🏻‍⚕️ #mounjaro #doctor #obesity,,I lost 177 pounds in 8 months. I barely ate. I drunk a lot of water.,['ate'],,,,,,,,,,,,
yt_0010,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Stop Eating These Foods on Ozempic &amp; Mounjaro Before It’s Too Late,,After 14 months on mounjaro and 140 pound weight loss I finally gave in and ate my favorite pepperoni pizza. Four hours later I had to call squad as I just felt like I was dying. Worst pain I’ve ever felt and 12 hours after I had eaten the pizza I finally vomited what seemed like pure grease. I never want to eat pizza again. Lesson learned.,"['ate', 'dying']",,,,,,,,,,,,
yt_0011,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",Stop Eating These Foods on Ozempic &amp; Mounjaro Before It’s Too Late,,"I found out fast that anything acidic, spicy, or fried was out!
I have to eat a bland diet and only cooked vegetables because I can't digest anything raw.",['cooked'],,,,,,,,,,,,
yt_0012,youtube,data_raw/youtube_comments.jsonl,"""mounjaro side effects"" #shorts",The Surprising Side Effects Of Ozempic,,I’m on Mounjaro started 2 weeks ago. My brain fog has cleared. Lifted my mood . I do fitness classes at my local health and fitness centre walk everywhere . People don’t seem to realise   It just an easy fix you have to do the work with it. You have to change the type of food you consume. No point taking the weight loss then eating the same unhealthy junk food you have always consumed but just less of it.❤❤,['brain fog'],,,,,,,,,,,,
