video_id,comment_id,text,like_count,published_at,author_channel_id,query,video_url,video_title,slang_hits,source_file,slang_text_checked,health_text_checked,clean_slang_hits,is_health_related,keep_for_annotation
zcLazzHXgqQ,UgwQYhLlmJOqyAK3pgF4AaABAg,"first brain fog, then dizzy, loss of feeling in hands. Lost 2 lbs in 4 mos. Explosive diarrhea or constipation. Quit taking 6 weeks ago. feel  astonishingly bad. I am diabetic only need to loose 30 lbs. Now I cannot walk without dizzy and falling. Rx from doc. Neighbor was flat on back in misery. Not walking when you have severe diarrhea IS A BIG problem.",4,2024-03-10T18:42:10Z,UCtDAAoooDngCv5SeSRi0CXg,"""ozempic side effects"" #shorts",https://www.youtube.com/watch?v=zcLazzHXgqQ,New Ozempic and Wegovy side effects come to light,['brain fog'],data_raw/youtube_comments.jsonl,"first brain fog, then dizzy, loss of feeling in hands. lost 2 lbs in 4 mos. explosive diarrhea or constipation. quit taking 6 weeks ago. feel  astonishingly bad. i am diabetic only need to loose 30 lbs. now i cannot walk without dizzy and falling. rx from doc. neighbor was flat on back in misery. not walking when you have severe diarrhea is a big problem.","""ozempic side effects"" #shorts   new ozempic and wegovy side effects come to light first brain fog, then dizzy, loss of feeling in hands. lost 2 lbs in 4 mos. explosive diarrhea or constipation. quit taking 6 weeks ago. feel  astonishingly bad. i am diabetic only need to loose 30 lbs. now i cannot walk without dizzy and falling. rx from doc. neighbor was flat on back in misery. not walking when you have severe diarrhea is a big problem.",['brain fog'],True,True
MzTCwlOM64Y,UgxMzZyKf6nI_Tcouf14AaABAg,"I have type 2 diabetes and was on Mounjaro for two years. I stopped taking it a few months ago because I felt so fatigued that I could barely function. My diet didn’t change much—I just ate less—but I had almost no energy, even for a simple walk. A friend had to come over to help me clean because I was so exhausted.

On top of that, I started dreading the injections because they made me feel like I was going to throw up, and the nausea lasted for three days. It really impacted my quality of life. Over two years, I lost a total of 22 pounds while on the 5 mg dose. Every time I tried increasing it, I experienced severe stomach pain and almost ended up in the hospital.

Since stopping Mounjaro, I’ve been constantly sick. I had a severe two-week illness with nonstop vomiting, followed by two sinus infections that turned into bronchitis—one in February and now again in March. I live in Florida and rarely get sick, so this is really unusual for me. I’m not sure if my body is trying to cleanse itself or if Mounjaro may have affected my immune system.",3,2025-03-25T05:02:53Z,UCBk7TO4bA-S1zZeZOVtcEmQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=MzTCwlOM64Y,The Best MOUNJARO Alternative (Without the Side Effects) - Dr. Berg,['ate'],data_raw/youtube_comments.jsonl,"i have type 2 diabetes and was on mounjaro for two years. i stopped taking it a few months ago because i felt so fatigued that i could barely function. my diet didn’t change much—i just ate less—but i had almost no energy, even for a simple walk. a friend had to come over to help me clean because i was so exhausted.

on top of that, i started dreading the injections because they made me feel like i was going to throw up, and the nausea lasted for three days. it really impacted my quality of life. over two years, i lost a total of 22 pounds while on the 5 mg dose. every time i tried increasing it, i experienced severe stomach pain and almost ended up in the hospital.

since stopping mounjaro, i’ve been constantly sick. i had a severe two-week illness with nonstop vomiting, followed by two sinus infections that turned into bronchitis—one in february and now again in march. i live in florida and rarely get sick, so this is really unusual for me. i’m not sure if my body is trying to cleanse itself or if mounjaro may have affected my immune system.","""mounjaro side effects"" #shorts   the best mounjaro alternative (without the side effects) - dr. berg i have type 2 diabetes and was on mounjaro for two years. i stopped taking it a few months ago because i felt so fatigued that i could barely function. my diet didn’t change much—i just ate less—but i had almost no energy, even for a simple walk. a friend had to come over to help me clean because i was so exhausted.

on top of that, i started dreading the injections because they made me feel like i was going to throw up, and the nausea lasted for three days. it really impacted my quality of life. over two years, i lost a total of 22 pounds while on the 5 mg dose. every time i tried increasing it, i experienced severe stomach pain and almost ended up in the hospital.

since stopping mounjaro, i’ve been constantly sick. i had a severe two-week illness with nonstop vomiting, followed by two sinus infections that turned into bronchitis—one in february and now again in march. i live in florida and rarely get sick, so this is really unusual for me. i’m not sure if my body is trying to cleanse itself or if mounjaro may have affected my immune system.",['ate'],True,True
hpRmQ6QKi2E,UgyUWO8B62zy_Mkmchd4AaABAg,"I experienced mild depression, combined with brain fog, and feeling withdrawn, anti social starting on day 4.....",18,2025-05-02T01:05:33Z,UC-FtoiiBoRTJr3sQzWqBvwQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=hpRmQ6QKi2E,Managing Mounjaro Side Effects: Strategies for Minimizing Risks | Wave Plastic Surgery,['brain fog'],data_raw/youtube_comments.jsonl,"i experienced mild depression, combined with brain fog, and feeling withdrawn, anti social starting on day 4.....","""mounjaro side effects"" #shorts   managing mounjaro side effects: strategies for minimizing risks | wave plastic surgery i experienced mild depression, combined with brain fog, and feeling withdrawn, anti social starting on day 4.....",['brain fog'],True,True
Dqe5hAnUxqg,Ugyfkc2un7mwgQFk4cx4AaABAg,The question is if an individual is morbidly obese let's say 250 kg and well they cannot lose weight even with various programmes let's say from factors like lack of willpower or watnot wouldn't glp 1 drugs like ozempic be much better for them cause their chances of death on their size is much more compared dying from any side effect of that drug,1,2025-09-24T12:52:49Z,UCscZM6k9yDddk2FF7Z7ZXHg,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=Dqe5hAnUxqg,The Truth About Mounjaro Side Effects,['dying'],data_raw/youtube_comments.jsonl,the question is if an individual is morbidly obese let's say 250 kg and well they cannot lose weight even with various programmes let's say from factors like lack of willpower or watnot wouldn't glp 1 drugs like ozempic be much better for them cause their chances of death on their size is much more compared dying from any side effect of that drug,"""mounjaro side effects"" #shorts   the truth about mounjaro side effects the question is if an individual is morbidly obese let's say 250 kg and well they cannot lose weight even with various programmes let's say from factors like lack of willpower or watnot wouldn't glp 1 drugs like ozempic be much better for them cause their chances of death on their size is much more compared dying from any side effect of that drug",['dying'],True,True
VQmomDREd5E,Ugx3nlWpWA0PTP4S1x54AaABAg,"Go for a walk after every meal & instead of doing your hair, face & nails.
Chew your food.   Eat whole food.  No snacking. 
Stop being lazy & shallow. 
Put the damn fork down & push away fr the table.",0,2026-03-18T15:05:13Z,UC0FSFN1RRmBgOd1uWQpl8SQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=VQmomDREd5E,Mounjaro 5mg 💩 NEW Side Effect #shorts #mounjaro #weightloss,['fr'],data_raw/youtube_comments.jsonl,"go for a walk after every meal & instead of doing your hair, face & nails.
chew your food.   eat whole food.  no snacking. 
stop being lazy & shallow. 
put the damn fork down & push away fr the table.","""mounjaro side effects"" #shorts   mounjaro 5mg 💩 new side effect #shorts #mounjaro #weightloss go for a walk after every meal & instead of doing your hair, face & nails.
chew your food.   eat whole food.  no snacking. 
stop being lazy & shallow. 
put the damn fork down & push away fr the table.",['fr'],True,True
Aypzrls4Mn0,UgytQKfmSlZ4vRT3VqF4AaABAg,"As someone with a long history of pretty severe IBS-D, the constipatory effects of Mounjaro have actually been a welcomed change, lol. What I have struggled with the most is the fatigue and the lack of interest and investment brought on by the dopamine blunting. As someone who has had problems in the past with depression, it's causing a concerningly familiar apathy and lack of motivation. I noticed it get much more pronounced at the 7.5 dose and then when I tried to go up to 10, I felt like I was dying between the fatigue and the emotional disassociation I was feeling. I have weaned back down to a dose of 5mg and feel like this is giving me the best balance between benefits and side effects.",12,2025-11-10T19:30:48Z,UCJFZUa4bUoORPiCJhyMWxcg,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=Aypzrls4Mn0,5 Common Ozempic &amp; Mounjaro Side Effects—and How to AVOID Them!,['dying'],data_raw/youtube_comments.jsonl,"as someone with a long history of pretty severe ibs-d, the constipatory effects of mounjaro have actually been a welcomed change, lol. what i have struggled with the most is the fatigue and the lack of interest and investment brought on by the dopamine blunting. as someone who has had problems in the past with depression, it's causing a concerningly familiar apathy and lack of motivation. i noticed it get much more pronounced at the 7.5 dose and then when i tried to go up to 10, i felt like i was dying between the fatigue and the emotional disassociation i was feeling. i have weaned back down to a dose of 5mg and feel like this is giving me the best balance between benefits and side effects.","""mounjaro side effects"" #shorts   5 common ozempic &amp; mounjaro side effects—and how to avoid them! as someone with a long history of pretty severe ibs-d, the constipatory effects of mounjaro have actually been a welcomed change, lol. what i have struggled with the most is the fatigue and the lack of interest and investment brought on by the dopamine blunting. as someone who has had problems in the past with depression, it's causing a concerningly familiar apathy and lack of motivation. i noticed it get much more pronounced at the 7.5 dose and then when i tried to go up to 10, i felt like i was dying between the fatigue and the emotional disassociation i was feeling. i have weaned back down to a dose of 5mg and feel like this is giving me the best balance between benefits and side effects.",['dying'],True,True
Aypzrls4Mn0,UgyryJNWPDBtQSHpP5N4AaABAg,"I wish I had constipation! Had the opposite for 20 years, tried cutting everything out, just ate meat... still the same.",2,2025-07-15T23:16:51Z,UCD06w6h3ikCwpygBZCnsEQA,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=Aypzrls4Mn0,5 Common Ozempic &amp; Mounjaro Side Effects—and How to AVOID Them!,['ate'],data_raw/youtube_comments.jsonl,"i wish i had constipation! had the opposite for 20 years, tried cutting everything out, just ate meat... still the same.","""mounjaro side effects"" #shorts   5 common ozempic &amp; mounjaro side effects—and how to avoid them! i wish i had constipation! had the opposite for 20 years, tried cutting everything out, just ate meat... still the same.",['ate'],True,True
q7gORBNYik0,UgylWT66s-BsCjbO9dR4AaABAg,"Thank you Fr Kevin, as a fellow healthcare worker ( RN) of over 30 years I'm also a huge proponent of these GLP agonists.  Lifestyle changes and patient education is paramount while using these medications.  Always great content, thank you.  Dana",17,2025-07-30T11:50:13Z,UCb2cEjsVgkJ4oxaauAUh19w,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=q7gORBNYik0,7 DEADLY Ozempic &amp; Mounjaro Side Effects You MUST Know Before Starting!,['fr'],data_raw/youtube_comments.jsonl,"thank you fr kevin, as a fellow healthcare worker ( rn) of over 30 years i'm also a huge proponent of these glp agonists.  lifestyle changes and patient education is paramount while using these medications.  always great content, thank you.  dana","""mounjaro side effects"" #shorts   7 deadly ozempic &amp; mounjaro side effects you must know before starting! thank you fr kevin, as a fellow healthcare worker ( rn) of over 30 years i'm also a huge proponent of these glp agonists.  lifestyle changes and patient education is paramount while using these medications.  always great content, thank you.  dana",['fr'],True,True
BR2djr_sqNM,UgyLeRgc1m2g2-EyM7d4AaABAg,I ended up in the ER because of Ozempic. Thought I was dying I felt so bad. Beware!,18,2023-09-02T02:54:20Z,UCfItphjirH9ObcpygLginWQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=BR2djr_sqNM,People who took popular weight loss drugs say their stomachs are paralyzed,['dying'],data_raw/youtube_comments.jsonl,i ended up in the er because of ozempic. thought i was dying i felt so bad. beware!,"""mounjaro side effects"" #shorts   people who took popular weight loss drugs say their stomachs are paralyzed i ended up in the er because of ozempic. thought i was dying i felt so bad. beware!",['dying'],True,True
_rcQQS_LSJA,Ugz5Vd9g2Yn2uJiBHEx4AaABAg,I lost 177 pounds in 8 months. I barely ate. I drunk a lot of water.,0,2026-04-21T20:29:20Z,UCq3fkWd83UFbSu2-1tspvyw,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=_rcQQS_LSJA,How much weight can you lose with Mounjaro? 🤷🏻‍♂️👨🏻‍⚕️ #mounjaro #doctor #obesity,['ate'],data_raw/youtube_comments.jsonl,i lost 177 pounds in 8 months. i barely ate. i drunk a lot of water.,"""mounjaro side effects"" #shorts   how much weight can you lose with mounjaro? 🤷🏻‍♂️👨🏻‍⚕️ #mounjaro #doctor #obesity i lost 177 pounds in 8 months. i barely ate. i drunk a lot of water.",['ate'],True,True
uqek00T0mRo,UgxRSguid-EFO52Eqdl4AaABAg,After 14 months on mounjaro and 140 pound weight loss I finally gave in and ate my favorite pepperoni pizza. Four hours later I had to call squad as I just felt like I was dying. Worst pain I’ve ever felt and 12 hours after I had eaten the pizza I finally vomited what seemed like pure grease. I never want to eat pizza again. Lesson learned.,375,2025-10-18T22:19:34Z,UC3-iZbMXfiGGcsERFwUvnNQ,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=uqek00T0mRo,Stop Eating These Foods on Ozempic &amp; Mounjaro Before It’s Too Late,"['ate', 'dying']",data_raw/youtube_comments.jsonl,after 14 months on mounjaro and 140 pound weight loss i finally gave in and ate my favorite pepperoni pizza. four hours later i had to call squad as i just felt like i was dying. worst pain i’ve ever felt and 12 hours after i had eaten the pizza i finally vomited what seemed like pure grease. i never want to eat pizza again. lesson learned.,"""mounjaro side effects"" #shorts   stop eating these foods on ozempic &amp; mounjaro before it’s too late after 14 months on mounjaro and 140 pound weight loss i finally gave in and ate my favorite pepperoni pizza. four hours later i had to call squad as i just felt like i was dying. worst pain i’ve ever felt and 12 hours after i had eaten the pizza i finally vomited what seemed like pure grease. i never want to eat pizza again. lesson learned.","['ate', 'dying']",True,True
uqek00T0mRo,UgwKIhiolP5srSUTfZd4AaABAg,"I found out fast that anything acidic, spicy, or fried was out!
I have to eat a bland diet and only cooked vegetables because I can't digest anything raw.",28,2025-11-05T19:35:52Z,UCadkD9S_-YbA0XfcrBzvyaA,"""mounjaro side effects"" #shorts",https://www.youtube.com/watch?v=uqek00T0mRo,Stop Eating These Foods on Ozempic &amp; Mounjaro Before It’s Too Late,['cooked'],data_raw/youtube_comments.jsonl,"i found out fast that anything acidic, spicy, or fried was out!
i have to eat a bland diet and only cooked vegetables because i can't digest anything raw.","""mounjaro side effects"" #shorts   stop eating these foods on ozempic &amp; mounjaro before it’s too late i found out fast that anything acidic, spicy, or fried was out!
i have to eat a bland diet and only cooked vegetables because i can't digest anything raw.",['cooked'],True,True
